kafka-init-1  | 2026-09-21T22:05:37.409692955Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:05:37.410159094Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:09.415688662Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
kafka-init-1  | 2026-09-21T22:06:09.417530133Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:09.417882566Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:09.418244900Z 	Topic: dados-sensores	Partition: 2	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:09.418541027Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:09.419028272Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:09.419488515Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:41.762378902Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
kafka-init-1  | 2026-09-21T22:06:41.765532181Z 	Topic: dados-sensores	Partition: 0	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:41.765583686Z 	Topic: dados-sensores	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:41.765586186Z 	Topic: dados-sensores	Partition: 2	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:41.765588286Z 	Topic: dados-sensores	Partition: 3	Leader: 3	Replicas: 3,1,2	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:41.765590087Z 	Topic: dados-sensores	Partition: 4	Leader: 1	Replicas: 1,2,3	Isr: 1,3,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:06:41.765591687Z 	Topic: dados-sensores	Partition: 5	Leader: 2	Replicas: 2,3,1	Isr: 3,1,2	Elr: 	LastKnownElr: 
kafka-init-1  | 2026-09-21T22:07:14.445636323Z Topic: dados-sensores	TopicId: TOQUTEIYQC2WEzitbIedXg	PartitionCount: 6	ReplicationFactor: 3	Configs: min.insync.replicas=2
