sensor-producer-2  | 2026-09-21T21:53:36.033440660Z 2026-09-21 21:53:36.032 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=140 entregues=139 falhas=0
sensor-producer-2  | 2026-09-21T21:53:41.039636023Z 2026-09-21 21:53:41.039 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=150 entregues=149 falhas=0
sensor-producer-2  | 2026-09-21T21:53:46.045226055Z 2026-09-21 21:53:46.044 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=160 entregues=159 falhas=0
sensor-producer-2  | 2026-09-21T21:53:51.052683414Z 2026-09-21 21:53:51.051 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=170 entregues=169 falhas=0
sensor-producer-2  | 2026-09-21T21:53:56.547587972Z 2026-09-21 21:53:56.547 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=181 entregues=180 falhas=0
sensor-producer-2  | 2026-09-21T21:54:01.553053248Z 2026-09-21 21:54:01.552 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=191 entregues=190 falhas=0
sensor-producer-2  | 2026-09-21T21:54:06.558297689Z 2026-09-21 21:54:06.558 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=201 entregues=200 falhas=0
sensor-producer-1  | 2026-09-21T21:53:31.487288909Z 2026-09-21 21:53:31.487 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=130 entregues=129 falhas=0
sensor-producer-1  | 2026-09-21T21:53:36.495250523Z 2026-09-21 21:53:36.493 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=140 entregues=139 falhas=0
sensor-producer-3  | 2026-09-21T21:52:31.145623458Z 2026-09-21 21:52:31.144 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=10 entregues=9 falhas=0
sensor-producer-3  | 2026-09-21T21:52:36.154670796Z 2026-09-21 21:52:36.154 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=20 entregues=19 falhas=0
sensor-producer-3  | 2026-09-21T21:52:41.161838093Z 2026-09-21 21:52:41.161 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=30 entregues=29 falhas=0
sensor-producer-3  | 2026-09-21T21:52:46.170075361Z 2026-09-21 21:52:46.169 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=40 entregues=39 falhas=0
sensor-producer-1  | 2026-09-21T21:53:41.502367952Z 2026-09-21 21:53:41.501 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=150 entregues=149 falhas=0
sensor-producer-1  | 2026-09-21T21:53:46.507065787Z 2026-09-21 21:53:46.506 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=160 entregues=159 falhas=0
sensor-producer-1  | 2026-09-21T21:53:52.003472103Z 2026-09-21 21:53:52.003 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=171 entregues=170 falhas=0
sensor-producer-2  | 2026-09-21T21:54:11.564394210Z 2026-09-21 21:54:11.563 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=211 entregues=210 falhas=0
sensor-producer-2  | 2026-09-21T21:54:16.572218638Z 2026-09-21 21:54:16.571 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=221 entregues=220 falhas=0
sensor-producer-3  | 2026-09-21T21:52:51.177581371Z 2026-09-21 21:52:51.176 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=50 entregues=49 falhas=0
sensor-producer-3  | 2026-09-21T21:52:56.185927162Z 2026-09-21 21:52:56.182 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=60 entregues=59 falhas=0
sensor-producer-3  | 2026-09-21T21:53:01.191258454Z 2026-09-21 21:53:01.190 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=70 entregues=69 falhas=0
sensor-producer-3  | 2026-09-21T21:53:06.198416535Z 2026-09-21 21:53:06.198 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=80 entregues=79 falhas=0
sensor-producer-3  | 2026-09-21T21:53:11.205483263Z 2026-09-21 21:53:11.204 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=90 entregues=89 falhas=0
sensor-producer-2  | 2026-09-21T21:54:21.577342705Z 2026-09-21 21:54:21.576 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=231 entregues=230 falhas=0
sensor-producer-2  | 2026-09-21T21:54:26.582785506Z 2026-09-21 21:54:26.582 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=241 entregues=240 falhas=0
sensor-producer-1  | 2026-09-21T21:53:57.009739424Z 2026-09-21 21:53:57.009 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=181 entregues=180 falhas=0
sensor-producer-1  | 2026-09-21T21:54:02.015273701Z 2026-09-21 21:54:02.014 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=191 entregues=190 falhas=0
sensor-producer-1  | 2026-09-21T21:54:07.021894392Z 2026-09-21 21:54:07.020 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=201 entregues=200 falhas=0
sensor-producer-1  | 2026-09-21T21:54:12.029242033Z 2026-09-21 21:54:12.028 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=211 entregues=210 falhas=0
sensor-producer-1  | 2026-09-21T21:54:17.035785410Z 2026-09-21 21:54:17.034 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=221 entregues=220 falhas=0
sensor-producer-1  | 2026-09-21T21:54:22.039184766Z 2026-09-21 21:54:22.038 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=231 entregues=230 falhas=0
sensor-producer-1  | 2026-09-21T21:54:27.044600324Z 2026-09-21 21:54:27.043 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=241 entregues=240 falhas=0
sensor-producer-1  | 2026-09-21T21:54:32.055468880Z 2026-09-21 21:54:32.055 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=251 entregues=250 falhas=0
sensor-producer-1  | 2026-09-21T21:54:37.061802398Z 2026-09-21 21:54:37.061 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=261 entregues=260 falhas=0
